ward_id,household_count,income_range_in_thousands,avg_hh_size
71507,29,10-20,5
71508,17,10-20,7
71509,3,10-20,5
71510,30,10-20,5
71511,15,10-20,6
71512,16,10-20,4
71513,77,10-20,5
71514,84,10-20,5
71515,18,10-20,5
71602,15,10-20,6
71603,4,20-30,5
71605,1,0-10,1
71606,9,0-10,5
71609,2,0-10,9
71901,12,0-10,5
71902,10,0-10,6
71903,6,0-10,6
71904,10,0-10,5
71905,15,0-10,6
71906,22,0-10,5
71907,12,0-10,5
71908,13,0-10,5
71909,11,0-10,5
72001,14,10-20,6
72002,19,10-20,6
72003,34,10-20,7
72004,4,10-20,7
72005,24,10-20,6
72006,6,10-20,6
72007,12,10-20,7
72008,7,10-20,5
72009,14,10-20,5
72101,19,0-10,5
72102,10,0-10,5
72103,5,0-10,5
72104,8,0-10,5
72105,3,0-10,5
72106,7,0-10,5
72107,1,0-10,3
72108,7,0-10,6
72109,4,0-10,5
72201,5,0-10,6
72202,10,0-10,3
72203,12,0-10,5
72204,17,0-10,4
72205,16,0-10,4
72206,7,0-10,5
72207,10,0-10,5
72208,6,0-10,5
72209,9,0-10,5
72301,20,10-20,4
72302,30,10-20,4
72303,56,10-20,5
72304,108,10-20,5
72305,41,0-10,6
72306,26,10-20,5
72307,70,10-20,6
72308,23,0-10,5
72309,12,10-20,4
72401,2,10-20,7
72403,9,10-20,4
72404,1,10-20,4
72405,8,10-20,4
72406,2,10-20,4
72407,9,10-20,5
72408,1,10-20,2
72409,8,0-10,6
72501,34,10-20,6
72502,20,0-10,5
72503,12,10-20,6
72504,24,10-20,6
72505,16,0-10,6
72506,32,10-20,5
72507,13,10-20,6
72508,8,10-20,5
72509,28,10-20,7
72601,24,0-10,4
72602,11,10-20,5
72603,11,0-10,4
72604,9,10-20,5
72605,9,0-10,4
72606,11,0-10,5
72607,7,0-10,4
72608,8,0-10,5
72609,2,0-10,6
72701,16,0-10,5
72702,13,10-20,5
72703,10,0-10,5
72704,4,0-10,5
72705,3,0-10,7
72706,3,0-10,9
72707,2,0-10,7
72708,9,0-10,5
72901,12,0-10,6
72902,17,0-10,5
72903,7,10-20,6
72904,6,0-10,4
72905,17,0-10,5
72906,16,0-10,6
72907,12,0-10,6
72908,18,0-10,7
72909,9,0-10,4
73001,51,10-20,5
73002,57,10-20,5
73003,8,10-20,5
73004,59,20-30,5
73005,35,20-30,5
73006,23,10-20,5
73007,24,0-10,5
73008,9,20-30,6
73009,48,10-20,5
73010,16,20-30,5
73011,1,0-10,2
73012,2,10-20,7
73013,18,10-20,4
73014,14,10-20,5
73015,34,10-20,4
73101,4,0-10,4
73102,1,10-20,8
73104,12,0-10,5
73105,27,10-20,6
73106,26,0-10,6
73107,5,20-30,4
73108,6,20-30,5
73109,2,20-30,8
73201,9,10-20,5
73202,2,0-10,4
73203,9,0-10,4
73204,2,0-10,4
73205,7,0-10,4
73206,10,0-10,5
73207,9,0-10,4
73208,4,10-20,2
73209,3,10-20,4
73401,19,0-10,5
73402,19,0-10,5
73403,14,0-10,4
73404,19,0-10,4
73405,20,0-10,4
73406,47,10-20,4
73407,20,0-10,4
73408,63,0-10,5
73409,83,0-10,4
73501,17,0-10,5
73502,8,10-20,5
73503,16,10-20,6
73504,15,10-20,6
73505,3,10-20,8
73506,9,10-20,6
73507,32,0-10,5
73508,34,10-20,5
73509,35,10-20,5
73604,1,30-50,4
73607,4,10-20,4
90101,16,0-10,5
90102,20,0-10,5
90103,20,0-10,7
90104,16,0-10,7
90105,13,0-10,6
90106,5,0-10,4
90107,15,0-10,6
90108,42,0-10,6
90109,34,0-10,5
90202,1,0-10,8
90204,8,0-10,7
90205,9,0-10,8
90206,2,0-10,7
90207,8,0-10,7
90208,5,0-10,10
90209,9,0-10,7
90301,2,10-20,4
90302,5,0-10,5
90303,17,10-20,6
90304,20,10-20,6
90305,8,10-20,6
90306,8,10-20,6
90307,3,10-20,8
90308,2,0-10,5
90309,3,0-10,8
90401,33,0-10,5
90402,5,0-10,7
90403,13,0-10,7
90404,35,0-10,5
90405,21,0-10,5
90406,25,0-10,5
90407,28,0-10,5
90408,16,0-10,6
90409,15,0-10,5
90601,3,0-10,7
90602,6,10-20,5
90603,4,0-10,7
90604,4,0-10,6
90605,13,0-10,5
90606,11,0-10,5
90607,5,0-10,4
90608,17,0-10,5
90609,12,10-20,5
90610,9,0-10,5
90611,6,10-20,5
90612,14,0-10,6
90613,10,0-10,5
90614,5,10-20,5
90615,9,0-10,8
90616,7,10-20,5
90617,1,30-50,9
90618,17,0-10,5
90619,27,0-10,6
90702,2,0-10,6
90801,6,0-10,5
90802,4,0-10,5
90803,3,0-10,7
90805,8,0-10,5
90806,3,0-10,8
90807,5,0-10,4
90808,8,0-10,5
90809,5,0-10,7
90901,4,0-10,5
90902,5,0-10,3
90903,9,0-10,6
90904,10,0-10,5
90905,7,0-10,5
90906,25,0-10,5
90907,3,0-10,4
90908,18,0-10,5
90909,10,0-10,6
91001,2,0-10,10
91002,1,0-10,12
91003,2,0-10,8
91004,2,0-10,4
91005,4,0-10,4
91006,9,0-10,7
91007,8,0-10,8
91101,13,0-10,5
91102,15,0-10,5
91103,9,0-10,4
91104,11,0-10,6
91105,22,0-10,5
91106,23,0-10,6
91107,30,0-10,5
91108,16,20-30,6
91109,9,0-10,3
91301,246,10-20,5
91302,138,0-10,6
91303,158,0-10,5
91304,20,0-10,6
91305,173,10-20,5
91306,38,0-10,5
91307,66,10-20,5
91308,55,0-10,5
91309,183,0-10,6
91310,180,10-20,6
91311,295,10-20,5
91312,142,0-10,5
91313,286,0-10,5
91601,47,10-20,5
91602,43,0-10,6
91603,35,0-10,4
91604,107,0-10,5
91605,36,0-10,5
91606,182,0-10,5
91607,86,10-20,5
91608,51,0-10,5
91609,107,0-10,5
91610,3,10-20,6
91611,13,0-10,5
91612,30,0-10,5
91613,29,10-20,6
91701,8,0-10,5
91702,12,0-10,4
91703,5,0-10,5
91705,8,0-10,4
91706,37,0-10,5
91707,30,0-10,5
91708,3,0-10,5
91709,21,0-10,4
91801,32,20-30,6
91802,15,10-20,5
91803,22,10-20,5
91804,19,10-20,5
91805,53,10-20,5
91806,47,10-20,5
91807,47,10-20,5
91808,33,0-10,5
91809,36,0-10,5
91901,4,0-10,5
91902,1,0-10,4
91903,4,0-10,5
91904,2,0-10,6
91905,4,0-10,5
91906,5,0-10,6
91907,5,0-10,5
91908,6,0-10,5
91909,6,0-10,7
92002,11,0-10,6
92003,7,0-10,4
92004,2,0-10,5
92005,6,0-10,5
92006,6,0-10,5
92007,4,0-10,5
92009,3,0-10,4
92201,14,0-10,4
92202,5,10-20,7
92203,4,10-20,6
92204,36,10-20,6
92205,4,10-20,4
92206,22,10-20,5
92207,17,10-20,6
92208,1,0-10,1
92209,2,0-10,4
92301,2,10-20,7
92303,3,0-10,8
92305,5,0-10,4
92402,5,0-10,5
92403,3,0-10,5
92404,2,0-10,5
92407,2,0-10,4
92408,1,0-10,7
92409,1,0-10,1
92501,9,0-10,5
92502,4,0-10,4
92503,2,0-10,3
92504,7,0-10,6
92505,5,0-10,5
92508,4,0-10,4
92509,1,20-30,4
92601,2,0-10,6
92602,5,0-10,5
92603,6,0-10,9
92604,19,0-10,6
92605,10,0-10,6
92606,3,0-10,6
92607,6,0-10,8
92608,4,0-10,10
92609,10,0-10,6
92901,2,10-20,4
92902,4,20-30,6
92903,2,20-30,6
92904,3,10-20,7
92905,5,10-20,3
92906,7,10-20,6
92907,5,10-20,5
92908,5,10-20,4
92909,4,10-20,8
93001,9,0-10,7
93002,6,0-10,6
93004,8,10-20,6
93005,1,10-20,9
93007,3,10-20,8
93008,12,20-30,8
93009,4,0-10,6
93101,2,0-10,5
93102,4,0-10,5
93103,7,0-10,5
93104,18,0-10,6
93105,7,0-10,4
93106,5,30-50,6
93107,5,0-10,7
93108,10,0-10,5
93109,1,30-50,4
93201,9,10-20,5
93202,15,10-20,5
93203,22,10-20,6
93204,16,0-10,6
93205,22,0-10,4
93206,28,10-20,5
93207,55,0-10,5
93208,14,10-20,6
93209,4,10-20,5
93301,8,0-10,6
93302,15,0-10,5
93303,2,0-10,7
93304,11,0-10,5
93305,5,0-10,6
93306,8,0-10,6
93307,10,0-10,5
93308,16,0-10,7
93309,2,0-10,6
93401,3,0-10,3
93403,2,0-10,3
93404,1,0-10,1
93405,6,0-10,7
93406,4,0-10,7
93407,3,0-10,5
93408,1,0-10,5
93409,5,0-10,5
100101,9,10-20,6
100102,41,10-20,6
100103,8,10-20,8
100104,12,10-20,8
100105,27,10-20,5
100106,56,10-20,6
100107,17,10-20,5
100108,17,10-20,4
100109,28,10-20,6
100201,3,0-10,7
100203,2,0-10,5
100204,9,0-10,6
100205,5,0-10,5
100206,4,0-10,4
100207,1,0-10,6
100208,7,0-10,5
100209,1,0-10,10
100301,31,0-10,5
100302,36,0-10,5
100303,15,0-10,5
100304,19,0-10,6
100305,5,0-10,4
100306,4,0-10,4
100307,30,0-10,5
100308,21,0-10,6
100309,11,0-10,5
100401,18,0-10,5
100402,13,10-20,4
100403,20,10-20,4
100404,25,10-20,5
100405,11,10-20,4
100406,10,10-20,5
100407,9,0-10,4
100408,15,10-20,5
100409,9,0-10,5
100501,6,0-10,5
100502,12,0-10,5
100503,5,0-10,6
100504,3,0-10,6
100505,3,0-10,5
100506,6,0-10,6
100507,13,0-10,6
100508,4,0-10,6
100509,2,0-10,5
100601,12,0-10,4
100602,10,0-10,5
100603,6,0-10,4
100604,10,0-10,5
100605,11,0-10,6
100606,13,0-10,5
100607,8,0-10,5
100608,11,0-10,5
100609,12,0-10,5
100801,41,20-30,4
100802,67,0-10,4
100803,63,0-10,5
100804,96,0-10,5
100805,303,10-20,5
100806,109,0-10,4
100807,256,10-20,4
100808,131,0-10,5
100809,113,0-10,5
100810,145,10-20,4
100811,98,0-10,4
100901,13,0-10,3
100902,13,0-10,4
100903,7,20-30,4
100904,5,0-10,4
100905,15,0-10,3
100906,24,0-10,4
100907,6,0-10,4
100908,10,0-10,3
100909,15,10-20,4
101001,5,0-10,4
101002,9,0-10,6
101003,8,0-10,4
101004,5,0-10,6
101005,8,0-10,5
101006,25,0-10,6
101007,16,0-10,5
101008,28,0-10,6
101009,17,0-10,5
101201,17,0-10,6
101202,5,0-10,5
101203,8,10-20,6
101204,16,10-20,6
101205,7,10-20,5
101206,7,0-10,4
101207,27,10-20,5
101208,26,0-10,5
101209,27,10-20,5
101301,4,0-10,6
101302,13,0-10,5
101303,8,0-10,6
101304,20,0-10,7
101305,31,0-10,6
101306,15,0-10,5
101307,12,0-10,6
101308,5,0-10,5
101309,8,0-10,4
101401,4,0-10,6
101402,4,0-10,7
101403,12,0-10,6
101404,10,0-10,5
101405,17,0-10,6
101406,19,0-10,5
101407,13,0-10,6
101408,2,0-10,5
101409,4,0-10,5
101501,11,10-20,5
101502,14,10-20,4
101503,20,10-20,5
101504,27,10-20,5
101505,19,20-30,6
101506,22,20-30,5
101507,17,20-30,6
101508,7,10-20,4
101509,17,10-20,6
101601,11,0-10,6
101602,12,20-30,5
101603,20,0-10,5
101604,5,0-10,6
101605,8,0-10,6
101606,9,0-10,5
101607,15,0-10,5
101608,35,0-10,6
101609,7,0-10,6
101701,7,0-10,5
101702,9,10-20,3
101703,5,0-10,4
101704,3,0-10,3
101705,6,0-10,4
101706,3,0-10,5
101707,4,0-10,5
101708,10,0-10,5
101709,10,0-10,6
101801,26,0-10,6
101802,27,0-10,5
101803,39,0-10,5
101804,30,0-10,5
101805,17,0-10,6
101806,26,0-10,5
101807,15,0-10,5
101808,14,0-10,5
101809,34,0-10,5
101901,15,0-10,5
101902,73,0-10,3
101903,7,0-10,5
101904,41,0-10,5
101905,28,0-10,4
101906,24,0-10,5
101907,17,0-10,4
101908,24,0-10,3
101909,56,0-10,3
102001,11,0-10,7
102002,17,0-10,6
102003,8,0-10,6
102004,21,0-10,7
102005,9,0-10,6
102006,14,0-10,6
102007,19,0-10,6
102008,15,0-10,5
102009,11,0-10,5
102101,8,0-10,5
102102,23,0-10,6
102103,11,0-10,5
102104,21,0-10,5
102105,9,0-10,5
102106,7,0-10,5
102107,19,0-10,4
102108,23,0-10,4
102109,18,10-20,6
102201,60,0-10,5
102202,81,0-10,6
102203,138,0-10,6
102204,175,0-10,5
102205,71,0-10,4
102206,106,0-10,5
102207,160,0-10,5
102208,120,0-10,5
102209,58,10-20,5
102301,7,0-10,5
102302,11,0-10,5
102303,2,0-10,6
102304,4,0-10,5
102305,6,0-10,5
102306,2,0-10,5
102307,2,0-10,5
102308,18,0-10,5
102309,7,0-10,6
102401,7,0-10,5
102402,21,0-10,5
102403,14,0-10,4
102404,12,0-10,5
102405,29,0-10,4
102406,9,10-20,4
102407,22,0-10,5
102408,15,10-20,4
102409,6,0-10,3
102501,3,0-10,6
102502,7,0-10,5
102503,6,0-10,6
102504,4,0-10,6
102505,14,0-10,6
102506,15,0-10,5
102507,9,0-10,6
102508,16,0-10,6
102509,10,0-10,5
102602,8,0-10,6
102604,6,0-10,5
102605,7,0-10,5
102606,3,0-10,5
102607,9,0-10,5
102608,6,0-10,6
102609,4,0-10,8
102701,7,0-10,5
102702,9,10-20,6
102703,2,0-10,5
102704,15,0-10,4
102705,16,10-20,6
102706,12,10-20,7
102707,19,0-10,6
102708,9,0-10,6
102709,12,10-20,7
102801,17,0-10,4
102802,17,0-10,4
102803,5,0-10,5
102804,14,10-20,4
102805,14,10-20,5
102806,8,0-10,4
102807,25,0-10,4
102808,5,0-10,4
102809,6,0-10,4
102901,6,0-10,3
102902,2,0-10,6
102903,17,10-20,5
102904,18,10-20,6
102905,11,10-20,5
102906,7,10-20,5
102907,3,10-20,4
102908,7,10-20,5
102909,13,10-20,4
103201,13,10-20,5
103202,3,0-10,9
103203,8,0-10,4
103204,9,0-10,6
103205,5,10-20,6
103206,1,10-20,9
103207,6,10-20,5
103208,7,10-20,5
103209,9,10-20,5
103401,21,10-20,5
103402,14,20-30,6
103403,23,0-10,5
103404,8,0-10,5
103405,25,10-20,5
103406,29,10-20,5
103407,46,0-10,6
103408,16,0-10,5
103409,35,0-10,5
103501,8,0-10,6
103502,15,0-10,4
103503,12,0-10,4
103504,5,0-10,5
103505,5,0-10,6
103506,6,0-10,6
103507,13,0-10,6
103508,4,0-10,6
103509,8,0-10,5
103601,28,0-10,5
103602,32,0-10,5
103603,10,0-10,5
103604,21,0-10,4
103605,28,0-10,5
103606,45,0-10,5
103607,21,0-10,5
103608,45,0-10,4
103609,22,0-10,5
103701,37,0-10,5
103702,54,0-10,5
103703,44,0-10,6
103704,34,0-10,6
103705,20,0-10,5
103706,41,0-10,6
103707,31,0-10,6
103708,15,10-20,6
103709,20,0-10,5
103801,8,0-10,5
103802,16,0-10,5
103803,3,0-10,7
103804,10,0-10,6
103805,18,0-10,6
103806,14,0-10,6
103807,23,10-20,5
103808,4,10-20,5
103809,12,0-10,6
103901,6,0-10,5
103902,39,0-10,5
103903,13,0-10,5
103904,25,10-20,4
103905,10,10-20,4
103906,13,10-20,4
103907,19,10-20,4
103908,15,0-10,4
103909,13,10-20,5
104001,28,10-20,5
104002,15,0-10,5
104003,34,10-20,4
104004,11,10-20,6
104005,24,10-20,4
104006,12,10-20,5
104007,6,10-20,4
104008,27,0-10,6
104009,36,10-20,5
104101,63,0-10,5
104102,33,0-10,5
104103,65,0-10,6
104104,75,0-10,5
104105,11,0-10,5
104106,52,10-20,6
104107,44,0-10,3
104108,29,0-10,3
104109,46,10-20,6
104110,75,0-10,5
104201,2,0-10,7
104202,2,0-10,7
104203,5,0-10,5
104204,2,0-10,4
104205,6,0-10,3
104206,4,0-10,5
104207,11,0-10,6
104208,3,0-10,5
104209,2,0-10,6
104301,23,10-20,6
104302,11,0-10,5
104303,4,0-10,5
104304,7,0-10,6
104305,11,0-10,5
104306,24,0-10,5
104307,36,0-10,5
104308,13,10-20,5
104309,48,0-10,5
104401,20,0-10,5
104402,16,0-10,6
104403,13,0-10,5
104404,5,0-10,4
104405,9,0-10,7
104406,25,0-10,4
104407,36,10-20,6
104408,35,0-10,5
104409,10,0-10,6
104501,17,0-10,6
104502,21,0-10,6
104503,23,0-10,5
104504,13,0-10,7
104505,1,10-20,5
104506,11,0-10,6
104507,5,0-10,3
104508,16,0-10,4
104509,11,0-10,5
104601,8,0-10,8
104602,7,0-10,4
104603,10,0-10,6
104604,8,0-10,6
104606,6,0-10,7
104607,17,0-10,4
104608,4,0-10,8
104609,10,0-10,5
104701,4,0-10,4
104702,7,0-10,4
104703,4,0-10,5
104704,1,0-10,5
104705,6,0-10,4
104706,7,0-10,4
104707,8,0-10,4
104708,12,0-10,4
104709,8,0-10,4
104801,9,10-20,6
104802,14,10-20,5
104803,32,10-20,4
104804,40,0-10,5
104805,14,0-10,5
104806,4,10-20,4
104807,17,10-20,4
104808,6,10-20,4
104809,4,10-20,4
104901,17,0-10,5
104902,11,0-10,6
104903,19,10-20,5
104904,6,0-10,5
104905,15,0-10,5
104906,6,0-10,4
104907,14,0-10,5
104908,13,10-20,8
104909,28,0-10,6
105001,14,0-10,6
105002,19,20-30,4
105003,23,10-20,4
105004,21,0-10,5
105005,11,0-10,4
105006,34,10-20,5
105007,31,10-20,4
105008,17,0-10,5
105009,29,10-20,5
105101,15,0-10,5
105102,8,0-10,5
105103,4,0-10,5
105104,15,0-10,5
105105,16,0-10,5
105106,10,0-10,6
105107,20,0-10,5
105108,6,0-10,4
105109,6,0-10,5
105201,9,10-20,3
105202,5,10-20,3
105203,2,10-20,4
105204,5,10-20,4
105205,13,10-20,4
105206,9,0-10,5
105207,9,10-20,7
105208,6,10-20,7
105209,5,10-20,5
105301,2,0-10,5
105302,9,0-10,7
105303,6,0-10,6
105304,5,0-10,6
105305,2,10-20,5
105306,3,0-10,7
105307,10,0-10,5
105308,8,0-10,7
105309,14,0-10,5
105401,4,0-10,3
105402,2,0-10,6
105403,8,0-10,6
105404,6,0-10,7
105405,1,0-10,7
105406,5,0-10,5
105407,10,0-10,4
105408,6,0-10,4
105409,4,0-10,5
105601,5,0-10,8
105602,1,0-10,1
105603,2,0-10,3
105604,7,0-10,6
105605,3,0-10,8
105606,9,0-10,7
105607,5,0-10,6
105608,10,0-10,6
105609,8,0-10,5
105701,11,0-10,4
105702,6,0-10,4
105703,9,0-10,4
105704,9,0-10,5
105705,8,0-10,4
105706,8,0-10,5
105707,6,0-10,4
105708,10,0-10,3
105709,13,0-10,4
105801,10,0-10,4
105802,4,0-10,7
105803,18,0-10,5
105804,4,0-10,4
105805,1,20-30,4
105807,10,0-10,4
105808,11,0-10,4
105809,5,0-10,3
105901,14,10-20,5
105902,8,0-10,5
105903,13,10-20,6
105904,14,10-20,6
105905,11,10-20,4
105906,9,10-20,5
105907,1,10-20,4
105909,6,10-20,5
106101,11,0-10,4
106102,5,0-10,4
106103,3,0-10,3
106104,9,0-10,4
106105,9,0-10,3
106107,6,0-10,3
106108,18,0-10,4
106109,5,0-10,4
106201,8,10-20,5
106202,10,10-20,5
106203,9,0-10,5
106204,15,10-20,5
106205,4,0-10,6
106206,5,10-20,6
106207,9,0-10,5
106208,2,0-10,4
106209,5,10-20,6
106301,14,0-10,7
106302,15,0-10,6
106303,23,0-10,5
106304,19,0-10,6
106305,16,0-10,6
106306,18,0-10,6
106307,36,0-10,5
106308,6,0-10,7
106309,13,0-10,5
110101,69,0-10,6
110102,53,0-10,6
110103,51,0-10,6
110104,71,0-10,5
110105,76,0-10,6
110106,40,0-10,6
110107,38,0-10,5
110108,63,0-10,5
110109,35,0-10,5
110201,64,0-10,5
110202,75,0-10,5
110203,48,10-20,5
110204,66,10-20,6
110205,37,10-20,5
110206,55,10-20,6
110207,100,10-20,5
110208,119,0-10,6
110209,116,0-10,5
110401,30,0-10,6
110402,23,0-10,5
110403,42,0-10,6
110404,17,0-10,4
110405,42,0-10,5
110406,23,0-10,5
110407,25,0-10,5
110408,29,0-10,4
110409,51,0-10,5
110501,78,50+,5
110502,53,50+,4
110503,36,50+,5
110504,42,50+,4
110505,18,50+,4
110506,30,50+,4
110507,33,50+,3
110508,50,50+,3
110509,27,50+,3
110601,84,0-10,5
110602,79,0-10,6
110603,44,10-20,5
110604,53,10-20,7
110605,50,10-20,6
110606,39,10-20,6
110607,93,10-20,5
110608,45,0-10,4
110609,84,10-20,5
110701,73,10-20,4
110702,59,10-20,4
110703,49,10-20,4
110704,67,0-10,4
110705,90,0-10,4
110706,33,20-30,4
110707,25,10-20,4
110708,115,20-30,4
110709,35,0-10,4
110801,30,0-10,5
110802,72,0-10,5
110803,36,0-10,5
110804,7,0-10,4
110805,5,0-10,5
110806,20,0-10,5
110807,45,0-10,5
110808,17,0-10,5
110809,22,0-10,5
110901,130,0-10,4
110902,80,0-10,6
110903,127,0-10,4
110904,37,0-10,6
110905,82,0-10,5
110906,163,10-20,3
110907,58,0-10,5
110908,61,0-10,6
110909,53,0-10,6
111101,74,10-20,7
111102,45,10-20,6
111103,55,10-20,6
111104,68,10-20,5
111105,64,10-20,6
111106,54,10-20,6
111107,32,10-20,5
111108,49,10-20,4
111109,19,10-20,5
111201,2,10-20,4
111202,15,10-20,3
111203,8,10-20,3
111204,21,10-20,3
111205,20,10-20,4
111206,44,10-20,4
111207,12,10-20,4
111208,60,10-20,4
111209,40,0-10,4
111301,69,0-10,5
111302,62,0-10,5
111303,87,0-10,5
111304,108,0-10,5
111305,63,0-10,5
111306,64,0-10,5
111307,47,0-10,5
111308,40,0-10,6
111309,89,10-20,6
111401,54,10-20,5
111402,46,10-20,6
111403,27,10-20,6
111404,40,10-20,5
111405,45,0-10,4
111406,19,0-10,5
111407,27,0-10,5
111408,5,10-20,4
111409,61,0-10,5
111501,63,0-10,4
111502,60,0-10,5
111503,68,0-10,5
111504,79,0-10,5
111505,85,0-10,5
111506,75,0-10,5
111507,174,0-10,5
111508,145,0-10,5
111509,68,0-10,5
111601,64,0-10,5
111602,96,0-10,6
111603,70,10-20,5
111604,106,10-20,5
111605,39,0-10,5
111606,82,0-10,6
111607,96,0-10,5
111608,38,0-10,6
111609,85,10-20,5
111701,50,0-10,5
111702,41,0-10,5
111703,48,0-10,5
111704,53,0-10,6
111705,42,0-10,5
111706,40,0-10,5
111707,52,0-10,5
111708,77,0-10,4
111709,20,0-10,5
111801,56,10-20,4
111802,93,10-20,5
111803,41,20-30,4
111804,25,0-10,5
111805,37,0-10,4
111806,5,10-20,1
111807,63,20-30,3
111808,47,20-30,2
111809,97,10-20,3
111901,113,10-20,5
111902,59,10-20,5
111903,40,10-20,5
111904,62,10-20,5
111905,50,10-20,5
111906,107,10-20,6
111907,40,10-20,5
111908,59,0-10,5
111909,8,0-10,6
112101,31,0-10,5
112102,41,0-10,4
112103,19,0-10,5
112104,40,0-10,5
112105,32,0-10,4
112106,43,0-10,4
112107,65,0-10,4
112108,36,0-10,5
112109,29,0-10,6
112201,11,0-10,6
112202,47,0-10,6
112203,27,0-10,5
112204,44,0-10,5
112205,50,0-10,5
112206,74,0-10,5
112207,28,0-10,5
112208,133,0-10,5
112209,96,0-10,5
112301,83,0-10,5
112302,73,0-10,5
112303,69,0-10,5
112304,35,0-10,5
112305,38,0-10,5
112306,28,0-10,4
112307,38,0-10,5
112308,34,0-10,5
112309,29,0-10,5
112401,27,20-30,3
112402,15,10-20,3
112403,30,0-10,3
112404,14,0-10,4
112405,30,0-10,3
112406,16,0-10,4
112407,66,10-20,3
112408,47,0-10,4
112409,45,10-20,4
112501,117,0-10,5
112502,73,0-10,4
112503,91,10-20,4
112504,39,10-20,4
112505,34,0-10,4
112506,87,10-20,4
112507,100,0-10,5
112508,51,10-20,5
112509,30,10-20,4
112601,86,0-10,5
112602,167,0-10,5
112603,85,0-10,6
112604,62,0-10,5
112605,63,0-10,6
112606,43,0-10,5
112607,39,0-10,6
112608,45,0-10,6
112609,27,0-10,5
112701,61,0-10,5
112702,78,0-10,5
112703,18,10-20,4
112704,32,0-10,5
112705,63,0-10,5
112706,66,0-10,4
112707,86,0-10,4
112708,38,0-10,5
112709,57,0-10,5
112801,64,0-10,5
112802,47,0-10,5
112803,23,0-10,4
112804,64,0-10,5
112805,28,0-10,5
112806,18,0-10,4
112807,24,0-10,6
112808,19,0-10,6
112809,47,0-10,5
112901,160,10-20,4
112902,150,10-20,5
112903,95,0-10,5
112904,219,10-20,5
112905,347,0-10,4
112906,276,0-10,3
112907,128,10-20,4
112908,99,10-20,4
112909,115,10-20,3
113001,103,0-10,6
113002,66,0-10,5
113003,102,0-10,5
113004,99,0-10,5
113005,55,0-10,5
113006,97,0-10,6
113007,125,0-10,5
113008,125,0-10,5
113009,63,0-10,5
113101,68,0-10,5
113102,152,0-10,5
113103,132,0-10,5
113104,97,0-10,5
113105,87,10-20,5
113106,110,0-10,6
113107,83,0-10,5
113108,69,0-10,5
113109,110,0-10,5
113201,21,0-10,6
113202,9,10-20,4
113203,18,10-20,5
113204,45,0-10,5
113205,15,10-20,4
113206,22,0-10,5
113207,19,0-10,4
113208,19,10-20,4
113209,29,0-10,5
113301,67,10-20,6
113302,67,0-10,4
113303,33,0-10,4
113304,14,0-10,5
113305,27,0-10,4
113306,50,0-10,4
113307,66,0-10,4
113308,20,0-10,5
113309,27,0-10,5
113401,77,0-10,5
113402,108,10-20,5
113403,95,0-10,4
113404,44,0-10,4
113405,84,0-10,4
113406,96,0-10,5
113407,126,0-10,5
113408,82,0-10,5
113409,65,0-10,5
120101,52,0-10,5
120102,91,0-10,5
120103,115,0-10,5
120104,67,0-10,4
120105,52,10-20,4
